"idhod","hodnota","stapro_kod","casz_cis","casz_kod","stavprace_cis","stavprace_kod","oceneni_cis","oceneni_kod","ocisteni_cis","ocisteni_kod","mesic","rok","mesicz","rokz","stapro_txt","casz_txt","stavprace_txt","oceneni_txt","ocisteni_txt"
"1267042943","99.9","5939","7626","C","175","024","7603","P","7604","P","10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267045593","92.3","5939","7626","C",,,"7603","P","7604","P","10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267058050","88.7","5939","7626","C","175","023","7603","P","7604","O","10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267034569","86.4","5939","7626","C","175","023","7603","P",,,"10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267044935","88","5939","7626","C","175","023","7603","P","7604","P","10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267042949","92.8","5939","7626","C",,,"7603","P","7604","O","10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267064371","98.2","5939","7626","C","175","024","7603","P",,,"10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267035703","97.8","5939","7626","C",,,,,,,"1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267037154","97.8","5939","7626","C","175","024",,,,,"1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267048462","97.8","5939","7626","C","175","023",,,,,"1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1281690802","96.4","5939","7626","C","175","024","7603","P","7604","O","1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267031668","95.4","5939","7626","C",,,"7603","P",,,"1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1281688691","98.5","5939","7626","C","175","024","7603","P","7604","P","1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1281689463","99","5939","7626","C",,,"7603","P","7604","P","1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1281685827","97.8","5939","7626","C","175","023","7603","P","7604","O","1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267031665","95.4","5939","7626","C","175","023","7603","P",,,"1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1281689465","99.2","5939","7626","C","175","023","7603","P","7604","P","1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1281689823","97.3","5939","7626","C",,,"7603","P","7604","O","1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267065228","95.4","5939","7626","C","175","024","7603","P",,,"1","2021","1","2020","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267041300","91.9","5939","7626","C",,,,,,,"8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267050740","91.6","5939","7626","C","175","024",,,,,"8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267036013","92.1","5939","7626","C","175","023",,,,,"8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267053095","93.8","5939","7626","C","175","024","7603","P","7604","O","8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267050735","88.9","5939","7626","C",,,"7603","P",,,"8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1267045165","89.9","5939","7626","C","175","024","7603","P","7604","P","8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267039108","90.5","5939","7626","C",,,"7603","P","7604","P","8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267033187","91.5","5939","7626","C","175","023","7603","P","7604","O","8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267050731","89.1","5939","7626","C","175","023","7603","P",,,"8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267051189","90.9","5939","7626","C","175","023","7603","P","7604","P","8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267054089","92.3","5939","7626","C",,,"7603","P","7604","O","8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267042733","88.4","5939","7626","C","175","024","7603","P",,,"8","2020","8","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267065216","94.5","5939","7626","C",,,,,,,"12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267031658","104.1","5939","7626","C","175","024",,,,,"12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267047939","89.9","5939","7626","C","175","023",,,,,"12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267058690","98.9","5939","7626","C","175","024","7603","P","7604","O","12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267063814","91.9","5939","7626","C",,,"7603","P",,,"12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1267030086","98.1","5939","7626","C","175","024","7603","P","7604","P","12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267058922","88.7","5939","7626","C",,,"7603","P","7604","P","12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267047363","85.2","5939","7626","C","175","023","7603","P","7604","O","12","2020","12","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
